data,novos_casos,novos_obitos,total_casos,total_mortes,semana_epidemiologica,pop_estimada_2019
2020-03-16,9,0,9,0,202012,9132078.0
2020-03-17,1,0,10,0,202012,9132078.0
2020-03-18,9,0,19,0,202012,9132078.0
2020-03-19,5,0,24,0,202012,9132078.0
2020-03-20,44,0,68,0,202012,9132078.0
2020-03-21,16,0,84,0,202012,9132078.0
2020-03-22,41,0,125,0,202013,9132078.0
2020-03-23,39,0,164,0,202013,9132078.0
2020-03-24,21,0,185,0,202013,9132078.0
2020-03-25,26,0,211,0,202013,9132078.0
2020-03-26,26,3,237,3,202013,9132078.0
2020-03-27,45,0,282,3,202013,9132078.0
2020-03-28,40,1,322,4,202013,9132078.0
2020-03-29,37,1,359,5,202014,9132078.0
2020-03-30,23,0,382,5,202014,9132078.0
2020-03-31,19,2,401,7,202014,9132078.0
2020-04-01,44,2,445,9,202014,9132078.0
2020-04-02,118,12,563,21,202014,9132078.0
2020-04-03,95,1,658,22,202014,9132078.0
2020-04-04,87,1,745,23,202014,9132078.0
2020-04-05,215,12,960,35,202015,9132078.0
2020-04-06,85,0,1045,35,202015,9132078.0
2020-04-07,143,5,1188,40,202015,9132078.0
2020-04-08,206,17,1394,57,202015,9132078.0
2020-04-09,51,0,1445,57,202015,9132078.0
2020-04-10,113,10,1558,67,202015,9132078.0
2020-04-11,110,7,1668,74,202015,9132078.0
2020-04-12,79,2,1747,76,202016,9132078.0
2020-04-13,188,25,1935,101,202016,9132078.0
2020-04-14,135,10,2070,111,202016,9132078.0
2020-04-15,221,13,2291,124,202016,9132078.0
2020-04-16,121,11,2412,135,202016,9132078.0
2020-04-17,335,20,2747,155,202016,9132078.0
2020-04-18,315,25,3062,180,202016,9132078.0
2020-04-19,244,9,3306,189,202017,9132078.0
2020-04-20,179,17,3485,206,202017,9132078.0
2020-04-21,197,15,3682,221,202017,9132078.0
2020-04-22,434,18,4116,239,202017,9132078.0
2020-04-23,586,32,4702,271,202017,9132078.0
2020-04-24,419,22,5121,293,202017,9132078.0
2020-04-25,546,33,5667,326,202017,9132078.0
